GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090268,0.3014744,0.2095147,0.161961,0.31093665,-0.1792947,-0.009254016,0.02784868,0.05742811,-0.04112742,-0.1575924,-0.069182405,-0.090796413,0.109799675,0.17396165,-0.0672169,-0.1270672,-0.4939163,-0.02785946,0.4108871,0.3671309,0.07266159,0.2655218,-0.02880479,-0.11685993,-0.4071411,0.7828059,0.4161683,0.371046915,-0.047875625,-0.07756342,0.07937463,0.1038905,0.206307593,0.02636713,0.1531683,-0.3454826,0.150785197,0.1709105,-0.2317698,0.060808585,-0.2031781,-0.4351287,-0.3606621,-0.3899063,0.008948353,0.009004762,0.1247122,0.1299203,0.2621549,-0.133542053,0.2562524,0.03793549,-0.3473383,0.04574103
GSM1090271,0.46049465,-0.1621719,-0.08959824,-0.132006605,-0.01008995,0.027529603,-0.007815875,-0.006689227,-0.042820264,-0.1536115,0.003433997,-0.1429707,-0.00216095,0.080777845,-0.05864135,-0.002055735,-0.3839498,0.07177097,0.01844749,0.077310455,-0.02658049,-0.081825645,-0.023524855,-0.025814142,-0.05901209,-0.05992538,-0.03794129,-0.04150192,0.053208925,-0.034167415,1.04913866,0.1251504,0.011712138,-0.00866076,-0.05289102,0.2570318,0.118879677,0.2133792,-0.019798405,0.1290528,0.05446598,-0.137209,-0.02485708,-0.1645773,-0.01663802,0.0534655,-0.0444567,0.0829006,0.05404839,0.193929627,0.2374359,0.07683283,-0.4400418,0.081575
GSM1090272,0.238641,0.2804275,0.3135615,0.2671875,-0.10472716,0.1305151,0.2287764,-0.07610068,-0.070622574,-0.03629202,-0.051127145,-0.06364797,-0.08826911,0.031299575,0.04236022,0.0741885,-0.2302146,-0.2595976,-0.3391328,-0.14429895,-0.0794035,-0.10610819,0.01662135,-0.142842865,0.1517971,-0.2798759,-0.01041471,-0.099289555,-0.09559221,-0.06007376,0.05311075,0.06012325,-0.04163956,0.004861368,0.141907,-0.2245187,-0.153217493,-0.2524231,0.083729165,-0.021094695,0.1711054,0.09132613,0.06822889,0.3258938,0.33283,0.1956503,0.2031803,-0.15681906,-0.07729399,-0.180467933,-0.1280669,0.05004859,-0.1506725,0.06981805
GSM1090274,0.27603785,0.4000278,0.2515725,0.27505135,-0.33017885,0.13749145,0.105215,-0.0963342,-0.08223478,-0.2464114,-0.026124083,-0.149186767,-0.057479063,0.01225299,0.041027,0.272599,0.6257099,-0.3284999,-0.08666743,0.19915635,-0.06407011,-0.02759718,0.018939705,-0.048459589,-0.1874489,0.2466585,0.2655563,-0.086278565,-0.0614016,-0.149603595,0.1845268,0.01388764,0.206635667,0.350183,0.5578398,-0.0870348,0.049931309,0.146178,0.015391443,-0.062125335,0.04883965,-0.2628705,-0.163046,-0.01285393,-0.03121366,0.021954472,-0.03247028,0.03254503,0.3083405,0.19130823,0.6627238,-0.03690641,-0.1194408,0.2527573
GSM1090276,0.43577455,-0.293323,-0.2627951,-0.1386656,-0.016549345,0.013355125,-0.006285572,-0.2594895,-0.175850545,-0.2419319,-0.31166675,-0.244153233,0.003536744,0.051093145,-0.01284543,-0.0426925,-0.5064906,0.02854771,-0.2533638,0.053799595,0.01979554,0.00820804,0.068381065,-0.05745045,-0.0543114,-0.01633823,0.05580029,0.15571729,-0.018449111,-0.081792085,1.007453435,0.884077,-0.176648167,-0.1391996,-0.08828273,0.06472936,0.006280233,0.3139468,-0.04014323,0.1820909,0.2512756,-0.219055,0.005231244,-0.1924277,0.001322728,0.094360675,-0.004206768,0.150745485,0.2724138,0.220449933,0.01956919,0.09361337,-0.000377572,0.2224365
GSM1090277,0.24594545,-0.4206565,-0.3503196,-0.3169667,-0.14612315,0.100480485,0.09588389,0.02465505,-0.030257102,-0.05775824,-0.024258137,-0.1303529,-0.116105963,-0.09112135,0.005192294,0.1638929,-0.1044128,-0.2534602,-0.2296484,-0.036401035,-0.03821575,-0.08780762,0.03205864,0.045501685,-0.03566618,-0.09940808,-0.01255134,0.03610715,-0.063417235,-0.092894845,0.57715106,0.3536536,0.083901308,0.1372638,0.404653,0.3214822,0.07807085,0.08796202,0.14917535,-0.023607164,0.1291549,-0.06847066,0.0385497,0.04332267,0.006316816,0.094283805,-0.08798437,0.14311725,0.05718654,0.244824733,0.3190472,0.1646206,-0.3397239,-0.02186513
GSM1090282,0.44018715,0.1994076,-0.09561013,0.38482605,-0.112760355,0.16386445,-0.1977766,-0.1274046,-0.023486385,-0.1972169,-0.050542475,-0.1857346,0.07408164,0.193591,0.05051173,-0.06410271,-0.3250862,-0.1238422,-0.00711386,0.1139349,0.08996468,0.1679157,0.015256909,-0.061981792,0.0432464,-0.09763778,0.02577072,-0.04054318,0.195151,-0.20682659,0.02701515,0.04130708,0.06727226,-0.09382781,0.1039822,-0.2073897,0.14291589,0.02621733,-0.089241105,-0.058670635,-0.02225636,-0.1776901,-0.07420096,0.06788146,0.04480228,0.065812155,-0.002768311,0.21971818,0.1348842,0.19889998,0.5426188,0.06218683,0.1434336,0.06919471
GSM1090284,0.3661148,-0.03379455,-0.092537,0.15041285,0.09943106,-0.017350066,-0.1021653,-0.04407845,0.015763479,0.01429438,-0.04529693,-0.049844933,0.065516368,0.1718274,0.006577912,-0.1349947,-0.7161904,0.007557806,-0.1897405,-0.082973895,0.1139173,0.05743269,-0.004805155,-0.1513103,0.005204304,0.0121896,0.07077508,-0.010697185,0.077125195,-0.124251093,0.05022498,0.05609542,-0.15570181,-0.1115223,-0.1749103,0.1162445,-0.01171499,0.1414989,-0.076866535,0.011413144,0.07160362,-0.01048487,0.0205636,-0.053131,0.04377172,0.010482862,0.03939121,0.159081625,0.1239261,0.115399217,0.09998938,0.06690959,-0.280745,-0.08392521
GSM1090285,0.34260355,-0.1914306,-0.1652829,-0.04181858,-0.3165074,0.12210115,-0.02726623,-0.1814934,0.003441055,-0.1669033,-0.1499052,-0.21205916,0.025869271,0.1432937,0.04536094,0.6137213,1.382931,-0.3203633,-0.3600704,-0.061118775,-0.1024361,-0.1377106,-0.030835072,0.01736499,0.1175852,0.05306203,0.03561727,0.081144315,0.00344177,-0.05268377,0.007893355,-0.001032283,-0.011765383,0.1342579,0.2677797,0.3236164,0.04837421,0.119109,0.18998375,0.01669138,0.2150957,-0.1766414,0.005597759,0.1082452,-0.009842561,0.1719547,-0.02347061,0.094303065,-0.01093785,0.047480856,0.2165234,0.1098806,-0.09420228,-0.08067386
GSM1090291,0.4971423,-0.29836,-0.2249808,-0.23674955,0.10809354,-0.08419976,0.02840923,-0.1798979,-0.023940895,-0.1004279,0.00031997,0.08127234,-0.04485098,0.01662078,0.02518097,-0.08308331,-0.6053424,0.1130382,-0.7024441,-0.1972332,-0.03546946,-0.12492636,-0.086037995,0.125686415,0.1680111,-0.287995,-0.09496871,-0.075353475,0.075960005,0.09651417,0.15876577,-0.03467366,-0.3507199,-0.3413534,-0.4164804,0.06612968,-0.00101896,0.05305818,0.05436809,0.05210125,0.2313787,0.05073667,0.07022924,-0.03997938,-0.04878194,0.047294395,-0.1342037,-0.055642144,-0.05457136,-0.022185233,-0.2278942,0.1203422,-0.5620127,-0.02570075
