GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090270,0.3617396,-0.05708634,-0.002692625,-0.078332075,0.08529753,-0.082181095,-0.04136768,-0.06844049,0.03728082,-0.01507495,-0.00896717,-0.096538773,-0.002627632,0.03394092,0.06860922,-0.1594642,-0.4747712,0.07226087,-0.1610953,-0.08296241,0.0764846,0.045240145,0.019947286,-0.089365535,0.1061785,-0.1133949,-0.0824393,-0.0395447,0.031731238,0.12167145,-0.020731495,0.037981,-0.134185067,-0.22034,-0.292428,0.1679136,-0.018535509,0.1796989,0.051049625,0.050073945,0.1202919,0.05382019,0.06993449,-0.183303,0.0526954,-0.03075488,0.03002117,0.0046632,0.0150667,0.064110193,-0.131373,0.1229717,0.4239599,0.03765219
GSM1090295,0.32917695,-0.2296559,-0.257871,-0.10810493,0.085567145,0.00365553,-0.02491579,-0.161589,-0.02773745,-0.05603581,-0.020903815,0.004853453,0.063144433,0.12126425,0.04936951,-0.1034575,-0.5065067,0.01197189,-0.6257281,-0.21561365,0.03533623,-0.0523477,0.2629243,-0.104762235,0.08777946,-0.1205541,-0.08464955,-0.11612843,-0.060184187,-0.00474529,0.012037605,0.004176465,-0.305700967,-0.2657047,-0.4194572,0.04344757,-0.004930587,0.1567561,0.05324906,0.12496955,0.1989839,0.006746071,0.03245199,-0.09184223,-0.01999912,-0.01850343,-0.02553475,0.092153635,0.05875491,0.259449733,0.03881737,0.05881121,-0.4155509,0.05103704
GSM1090299,0.42932565,-0.1720167,-0.1398488,-0.12495416,0.048364515,-0.038891165,0.04448558,-0.09084118,-0.01745452,0.01188027,-0.07499029,0.006634943,0.025435824,0.10849055,-0.04719052,-0.06707826,-0.2528632,0.06327523,-0.05479896,-0.078748165,-0.000564942,0.005148537,-0.011518589,-0.003005529,-0.02269423,0.04910252,0.05500429,0.08629719,-0.003175788,0.055640965,0.00696721,0.01753736,-0.140378823,-0.1802499,-0.2211051,-0.1793215,-0.050864559,0.02931917,-0.06733982,0.05029543,-0.1222138,0.01044376,-0.01799494,-0.000735979,0.03357776,-0.018959735,0.07508548,-0.12746218,-0.03498362,-0.169363633,-0.3953751,0.02615776,-0.1326805,-0.01280874
GSM1090312,0.4640324,-0.4651109,-0.273155,-0.221074,0.13781795,-0.06050152,-0.003119517,-0.1132855,0.043675555,0.08834395,0.001654899,0.044039475,0.005121419,0.001272253,0.114659,-0.08016005,-0.6694822,0.07259414,-0.4775569,-0.31898405,0.09082042,-0.010656549,0.01123249,0.064022225,0.06528486,-0.01129427,-0.08657681,0.014124535,0.07814803,0.121028485,0.031960465,0.02898921,-0.3057925,-0.2552443,-0.4991144,-0.3286931,-0.10533559,-0.2171338,-0.0036595,0.04224796,-0.02594015,0.1231804,0.02393869,0.01748677,0.0288689,-0.02843223,0.01004186,-0.20241573,-0.09744053,-0.350446733,-0.433217,0.1180196,2.57E-06,-0.04063661
GSM1090335,0.3828005,-0.1673421,-0.2290924,0.00715333,-0.041229985,0.09820611,-0.02900049,-0.2020234,0.00674763,-0.08463111,-0.1791123,-0.041683696,0.091495625,0.24787625,0.02144732,0.2511824,0.2294812,-0.2225563,-0.8365554,-0.29347055,-0.08385395,-0.12588985,0.050677115,0.07417763,0.1541159,0.08006871,-0.02674468,-0.029237955,-0.00548136,-0.07129486,-0.008356035,0.04067463,-0.317370767,-0.06119613,-0.4107845,0.02631319,-0.062297497,-0.07587334,0.122546935,0.006518529,0.2718792,0.0156159,0.1447457,0.07931076,0.08148053,0.074757175,0.009574896,0.032139465,-0.01911793,-0.09966916,-0.1063118,0.139763,-0.2948231,-0.07747091
GSM1090353,0.3727403,-0.3754274,-0.2706764,-0.25832925,0.1135804,-0.04739636,-0.007535881,0.05570459,0.1343315,0.1123663,0.11889335,0.029560926,-0.042555425,0.030163215,0.07201995,-0.02087452,-0.478201,0.08502876,-0.3012433,-0.20980735,0.1019375,-0.070257835,0.060160815,0.168302745,0.03259917,-0.08791367,-0.05828829,-0.07221955,0.017143995,0.09233772,0.025985314,0.002820085,-0.18510206,-0.3273142,-0.3705395,0.04759023,-0.06144139,0.04231036,0.013204731,0.04320147,-0.07092773,0.1265239,-0.03888696,0.001800378,0.04063706,-0.05235985,0.03038091,-0.01814345,-0.09350202,-0.017456023,-0.4631771,0.04814789,-0.2715533,-0.01854765
GSM1090364,0.43369125,-0.5986644,-0.3586653,-0.32936305,0.13347895,-0.077101775,-0.07100058,-0.1171982,0.03190268,0.05886697,-0.007698691,0.031093612,-0.021302896,0.09587141,0.05889833,-0.07955132,-0.630277,0.09758959,-0.376823,-0.1500497,0.05155472,-0.047442475,0.00541953,0.064990571,0.05591151,-0.04288393,0.01042373,-0.016581285,0.04225509,0.09971704,-0.030510412,0.09483102,-0.246458233,-0.2138035,-0.32781,-0.2072801,-0.011346296,-0.04724823,0.015866419,-0.015660181,-0.09459615,0.08963624,0.08215076,0.02929687,0.02753009,-0.02300176,0.01635278,-0.057275535,-0.02213606,-0.225910167,-0.2852457,0.07565347,-0.1270448,-0.03224008
GSM1090368,0.2685938,-0.4760301,-0.3063798,-0.134932785,0.03220795,-0.04415421,-0.009054009,-0.446907,-0.13821316,-0.2195904,-0.153854245,-0.096613397,0.02795934,0.068004685,0.08762056,-0.09149802,-0.8255704,0.03179013,-0.8328581,-0.1972556,-0.08765377,-0.18846823,0.067655588,-0.022796897,0.1237818,-0.09544426,-0.09815154,-0.02420343,-0.019891961,-0.00533924,-0.02362965,0.111516,-0.312092067,-0.2937638,-0.1175507,-0.04102785,-0.182440407,0.1767045,0.00979477,0.1260511,0.2662826,-0.085478,0.1897212,-0.1351489,0.02006177,0.07786611,0.0170811,0.027440425,0.08457432,0.090688987,-0.2442383,-0.02684457,-0.1917668,0.06528522
GSM1090376,0.2872627,-0.4349364,-0.2852418,-0.115550255,0.0394983,-0.0213843,0.04411865,-0.4859045,-0.074511465,-0.1797794,-0.155773575,0.056593513,0.13121411,0.1143683,0.05264036,0.02381981,-0.561986,0.03246642,-0.7897938,-0.33991105,-0.06944731,-0.07727766,0.110605365,0.072354305,0.2220819,-0.04843246,-0.07535918,-0.039996965,-0.03905143,0.034608469,-0.0613023,0.02303362,-0.412117233,-0.4321567,-0.2778412,-0.5863149,-0.20387094,-0.09301707,-0.03228728,0.039130935,0.1529547,0.001281837,0.206281,-0.05071039,0.04869945,0.06150455,-0.0475843,-0.26028542,-0.03467887,-0.346370267,-0.4806581,-0.01526423,-0.1574175,0.1528072
GSM1090387,0.47316355,-0.2476647,-0.2533205,-0.25617165,0.14288205,-0.04149984,0.04575146,-0.1168422,-0.01934689,0.007705647,-0.042564765,0.130518963,0.010261825,0.11087905,0.09142265,-0.207947,-0.9290251,0.1277557,-0.4684335,-0.271619,-0.000315862,-0.01708003,0.03495591,0.11302685,0.1979346,-0.1748971,-0.0946903,-0.157288265,0.06408957,0.08917663,-0.097002565,0.03840975,-0.356097333,-0.3991542,-0.4576786,-0.4752566,-0.111345017,-0.2149147,-0.011305865,0.00421265,-0.02238259,0.147716,0.05678362,-0.0822923,-0.05481399,0.034516349,0.01917053,-0.19810602,-0.08732898,-0.4254925,-0.6020037,0.1389186,-0.2658444,-0.01886262
GSM1090394,0.51772885,-0.004574952,-0.1092923,0.110947415,-0.022642079,-0.00855821,-0.01434498,-0.2345541,0.016864385,-0.3556581,-0.05489594,-0.09936899,0.161747875,0.1531444,0.07633713,0.2027039,1.279945,-0.03616436,-0.382756,0.06144462,-0.01112265,0.03233966,0.09706325,0.030073641,-0.1684774,-0.06441362,-0.1143761,-0.07829187,4.84E-05,0.15870345,0.00646999,-0.04298829,-0.2424012,-0.2208284,-0.3138647,-0.2713782,-0.041904303,-0.002594688,-0.092355905,0.11169935,-0.1068086,-0.127903,-0.1421031,-0.3133594,0.1914464,0.15738495,0.01464708,0.15451658,0.01761948,0.065428823,0.2357595,0.003102827,1.06953,-0.05060321
GSM1090418,0.2872222,0.2693527,0.3236331,0.10237808,-0.062777145,-0.030390891,0.04569956,0.2724947,0.02597248,0.1502894,0.00827704,0.062564237,-0.002017693,0.0630571,0.003241997,-0.05325291,-0.1752387,0.07283477,0.4295627,0.2541029,0.04875452,0.21652175,0.01794597,-0.111285815,-0.3924218,0.2523179,0.181532,0.160854275,-0.02086918,0.010780566,0.404048435,0.009675223,0.2114067,0.1061733,0.1129502,-0.6466506,0.116514861,-0.08261088,-0.246085,0.06228788,-0.4136798,-0.03386163,-0.3495792,-0.06843538,0.006653146,-0.0850092,0.1889949,-0.265344625,0.1729663,-0.1908635,-0.2846726,0.002777089,0.4193069,0.1358299
GSM1090424,0.47613795,-0.0630003,-0.08610255,0.031049468,0.074382815,0.021505335,-0.0675703,-0.1166693,-0.03976514,-0.142081,-0.07153394,-0.029424687,0.084024233,0.1859206,0.07003989,-0.1310556,-0.6252131,0.003400553,-0.6316012,-0.1688878,0.04850069,-0.0785897,-0.016902234,0.053893985,0.04836788,-0.03299519,-0.0503672,-0.002439185,0.02542675,-0.035929344,-0.030206095,-0.03531272,-0.313994033,-0.1797872,-0.4184294,-0.06204439,-0.067900927,-0.105691,0.018389435,0.025915035,0.2712306,0.006231169,0.1174802,-0.0802137,-0.009450263,0.013507046,-0.03690356,-0.033358998,0.008160098,-0.1855636,-0.3425041,0.06056598,-0.1961558,0.01777435
