GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090269,-1.562908,-0.01503759,-0.006808822,0.008666365,0.05639025,-0.018398193,0.02620635,-0.0569843,0.02605123,-0.0171275,-0.06604687,0.125471433,-0.004150215,0.10666145,0.1218851,0.001622254,-0.4588571,0.03034005,-0.02144962,-0.06137916,-0.01734246,0.0727732,0.008413184,-0.042213327,0.06297928,-0.1080777,-0.02405881,-0.102657655,0.000167023,0.00477274,-0.06912111,-0.005213344,-0.1645642,-0.1158769,-0.2681546,-0.482985,-0.06344988,-0.07333796,-0.03784865,0.025471078,0.001661555,0.06939695,0.02905763,0.03263132,0.01555896,0.032583705,-0.03049944,-0.30002514,-0.08917933,-0.4216861,-0.4990816,0.08576497,-0.2534075,0.005517994
GSM1090273,-1.5220525,-0.2400698,-0.2337012,-0.040713505,0.050064651,-0.018924896,-0.01287165,-0.2710616,-0.0689972,-0.1316593,-0.19922936,-0.101284647,0.103501365,0.1923094,0.07983975,-0.02932715,-0.3275033,0.09493462,-0.1450713,0.0395129,-0.04354883,-0.042453115,-0.018698475,-0.038232515,0.007678511,-0.04433408,-0.01904734,0.01667907,0.063861575,0.0447541,0.03263387,0.08067182,-0.217435867,-0.0766394,-0.2408011,-0.4392807,-0.06003994,0.1148427,-0.0604596,-0.00945188,0.1082962,-0.089444,0.01419301,-0.07349811,0.01248244,0.003265597,-0.02853084,-0.102864315,0.03977505,-0.2024804,-0.2729011,-0.07690584,-0.2843405,0.02551515
GSM1090275,-1.661384,-0.4640317,-0.215176,-0.31365945,0.10328751,-0.03646943,0.05149892,-0.1107967,0.019413413,-0.005740506,0.03953674,0.236080533,-0.04020802,-0.03041541,0.01154472,-0.09997433,-0.7481551,0.1621445,-0.5424694,-0.2402987,0.07493885,-0.03427159,0.13055418,0.117214715,0.1662205,-0.1193285,-0.07698749,-0.11164328,0.029418445,0.11580465,-0.06659771,0.01153718,-0.308843367,-0.291025,-0.4331978,-0.2770167,-0.117403913,-0.01978165,0.059519365,0.058506225,0.03690857,0.09962318,0.1228453,-0.03790811,0.02347082,-0.016925745,-0.0119547,-0.106968273,-0.09941342,-0.169089133,-0.4748882,0.03154923,-0.1149673,-0.02073254
GSM1090280,-1.54556,-0.1933294,-0.09860238,-0.1231762,0.07714073,-0.03794895,0.005171955,0.07609883,0.064784885,0.09909245,0.03374918,0.10367018,0.028789597,0.1344894,0.09189631,-0.106613,-0.1349578,0.06890985,-0.06345882,-0.153284,0.02111779,0.070645285,0.01571739,0.123239925,-0.001526049,0.07235784,0.02246713,0.029688642,0.04013007,0.079919975,-0.01525612,0.01551692,-0.138389147,-0.2285893,-0.3651699,-0.1248561,-0.026067186,0.03127248,-0.031773645,0.03987504,-0.1270089,0.07115486,-0.007956754,-0.02305927,-0.01870685,-0.028113376,0.02126937,-0.13457161,-0.1183765,-0.258839233,-0.4725727,0.08303226,0.1179235,-0.004592493
GSM1090289,-1.5913125,-0.3751241,-0.3918389,-0.17231613,0.13531615,-0.073991705,-0.008784986,-0.1893419,-0.00591564,0.04265813,-0.2087241,0.04345614,0.013447828,0.12017935,0.1387855,-0.04071687,-0.6822296,0.07726405,-0.4689297,-0.2717866,-0.09283035,0.038633285,0.045559345,0.154863555,0.1495163,-0.0666426,-0.09577617,-0.09952725,0.04786028,0.02867717,-0.0152735,0.1527469,-0.340197367,-0.3175676,-0.5131224,-0.3910476,-0.09743564,-0.04763763,-0.02082851,0.0550315,0.04108296,0.1346348,0.1325625,-0.04836927,0.04700778,0.022541303,-0.02780939,-0.32965525,-0.124069,-0.521265167,-0.6110874,0.1191404,-0.1850552,-0.05292173
GSM1090294,-1.579848,-0.5792029,-0.3649577,-0.13660879,0.07341751,0.05772158,0.2591517,-0.2258887,-0.019650745,-0.2190049,-0.08607118,-0.21775928,0.102293175,0.19555955,0.1742057,-0.06375523,-0.3626269,-0.03963788,-0.8323121,-0.1603122,0.1946287,0.09655563,0.07152383,-0.012390213,0.1166704,-0.068919,0.3031793,0.275732185,0.16875746,-0.18352382,0.03822289,-0.09412753,-0.328800533,-0.3115196,-0.3653582,-0.167809,-0.06632612,0.1298574,-0.04998416,0.079828205,0.1038513,-0.04651474,0.07983046,0.07543845,0.6181768,0.59174555,0.8226473,0.25807525,0.06289885,0.14195873,0.09758805,0.0516053,-0.1348116,-0.2680207
GSM1090304,-1.6388395,-0.4901276,-0.353621,-0.29224965,0.11258585,-0.042463132,0.0731357,-0.1075899,0.018835735,0.03721961,-0.091727805,0.048577937,-0.050783433,0.039484765,0.07770269,-0.1279378,-0.5690181,0.1241416,-0.5169178,-0.3099337,0.02186451,0.02040067,0.012769163,0.105761395,0.1575886,-0.1301313,-0.0747789,-0.121889385,0.035509633,0.070847295,-0.0043737,0.1041961,-0.326307133,-0.3496042,-0.4190812,-0.3286957,-0.123217358,-0.1342969,-0.010050075,0.021052762,0.05184368,0.1345142,0.1384185,0.02720764,0.01455055,0.026050705,-0.03185839,-0.21138559,-0.07535688,-0.447454067,-0.7439887,0.0722414,-0.1597412,-0.01077965
GSM1090308,-1.676256,-0.3020397,-0.2942587,-0.22860455,0.020154531,-0.03044954,0.05488108,0.08314391,0.017748804,0.0139933,0.00977593,0.134063767,-0.034209798,-0.048547885,-0.02263498,-0.1518149,0.01107078,0.0580577,0.2346291,0.1821039,0.02118555,0.1042934,0.116678653,-0.017716475,-0.05155968,0.3018456,0.06835619,0.186633625,0.01223428,0.05255418,0.090765975,0.1478905,0.031354507,-0.01641504,-0.06135558,-0.458041,-0.016920936,-0.1254135,-0.07709324,-0.057996885,-0.1648148,-0.01220584,-0.004295179,-0.08046275,0.02302105,-0.011525695,0.006380872,-0.183614725,0.000446021,-0.2188478,-0.3803023,0.07015394,-0.1039279,-0.0162293
GSM1090311,-1.5983055,-0.4340669,-0.2791684,-0.2101481,0.078356285,-0.042512807,-0.01545388,-0.1827126,-0.094672632,-0.03693846,-0.120505585,-0.017587917,0.045276318,0.11374625,-0.01299531,-0.005966895,0.5501205,0.07130589,-0.1474287,-0.048747115,-0.02312633,-0.05243024,0.004896041,-0.016911785,0.04351715,-0.07742827,-0.03096145,-0.07589609,0.08216696,0.040782875,0.008482806,-0.06152907,-0.230812363,-0.1807341,-0.3310143,-0.4896584,-0.11477282,-0.1587726,-0.008936648,0.01150754,0.09744857,0.03185326,0.08915672,0.005945006,-0.01205726,0.01794959,-0.02198619,-0.23275502,-0.0829381,-0.4103783,-0.2731577,0.04727025,-0.2672356,-0.01186917
GSM1090318,-1.5711775,0.006497439,-0.0249098,-0.04313575,0.06677848,-0.0677453,-0.008694892,0.04712847,0.006466373,0.07753684,-0.026379385,-0.023926723,0.007157575,0.10089003,-0.01974655,-0.08725832,-0.1860658,0.07458007,0.2480437,-0.033020835,-0.005852079,0.055815925,0.028514215,-0.01162593,-0.04520047,0.1957221,0.04646127,0.09898731,0.041955445,0.070148395,0.041255685,0.06883945,-0.00746338,-0.1321372,-0.2567739,-0.1763344,-0.066810483,-0.04147801,-0.047650075,-0.024274375,-0.1321445,0.06159788,-0.006520338,-0.02127855,0.02532009,-0.005735831,0.02237495,-0.212771265,-0.08008899,-0.233761067,-0.5485308,0.04832802,0.3355313,-0.05233546
